ID|PSET|ALT_PRONOUNCE|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ENGLISH|INTRO NOTE|END NOTE|FILENAME
||||||ᎠᏂ.|áʔni.|A strawberry. Strawberries.|||
||||||ᎠᏥᎸᏍᎩ.; ᎠᏥᎸᏍg|aji:lv̋:sgi.; aji:lv̋:sg|A flower.|||
||||||ᎠᏂᏥᎸᏍᎩ.; ᎠᏂᏥᎸᏍg|ani:ji:lv̋:sgi.; ani:ji:lv̋:sg|Flowers.|||
||||||ᎠᎭᏫ.; ᎠᏫ.|ahawi.; ahwi.|A deer. Deer.|||
||||||ᎠᏬᎭᎵ.; ᎠᏬᎭᎵ|awǒ:háʔli.; awǒ:háʔli|An eagle. Eagles.|||
||||||ᎡᎶᏆ.|e:logwa.|A snail. Snails.|||
||||||ᎡᏟ.|ehli.|A mink or ferret. Minks or ferrets.|||
||||||ᎢᎾᎨᎢ.; ᎢᎾᎨ|ǐ:náge̋:ʔi.; ǐ:náge̋|Wilderness.|||
||||||ᎢᎾᏓ.; ᎢᎾd|ǐ:náda.; ǐ:nád|A snake. Snakes.|||
||||||ᎢᏃᎵ.; ᎢᏃꮅ|inò:li.; inò:l|A badger. Badgers.|||
||||||ᎣᎦᎾ.; ᎣᎦn|o:gana.; o:gan|A groundhog. Groundhogs.|||
||||||ᎤkᏐᏣᏁᏓ.; ᎤkᏐᏣᏁd|u:ksò:ja:ne̋:da.; u:ksò:ja:ne̋:d|A goat.|||
||||||ᎤkᏖᎾ.; ᎤkᏖn|ukte:na.; ukte:n|A horned serpent. Horned serpents.|||
||||||ᎤᎫᎫ.; ᎤᎫk|u:gù:ku.; u:gù:k|An owl.|||
||||||ᎤᎾkᏐᏣᏁᏓ.; ᎤᎾkᏐᏣᏁd|u:naksò:jane̋:da.; u:naksò:jane̋:d|Goats.|||
||||||ᎤᏤtᏍᏗ.; ᎤᏤtᏍd|u:je̋:tsdi.; u:je̋:tsd|An opossum.|||
||||||ᎤᎾᏤtᏍᏗ.; ᎤᎾᏤtᏍd|u:naje̋:tsdi.; u:naje̋:tsd|Opossums|||
||||||ᎤᏂᎫᎫ.; ᎤᏂᎫk|u:ni:gù:ku.; u:ni:gù:k|Owls.|||
